GWBASIN,SITENUM,YEAR,LAT,LONG,BFI,PRECIP_MM,TEMP_C,AREA_KM2,SLOPE_DEGREES,ELEV_FT,ET_MM,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
AGUA FRIA,9512800,1981,34.01558948,-112.1679378,0.349,434.58,16.91,4800.94081,13.3722534,1801.373,477.8978576660156,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512500,2011,34.3153073,-112.0640455,0.628,286.32,16.6,4800.94081,13.3722534,3481.221,369.141845703125,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512500,2009,34.3153073,-112.0640455,0.439,266.25,17.02,4800.94081,13.3722534,3481.221,341.8438720703125,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,2019,34.01558948,-112.1679378,0.18,620.96,16.23,4800.94081,13.3722534,1801.373,603.872314453125,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512500,2012,34.3153073,-112.0640455,0.119,335.19,17.44,4800.94081,13.3722534,3481.221,390.2470397949219,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,1987,34.01558948,-112.1679378,0.206,506.74,15.92,4800.94081,13.3722534,1801.373,531.773681640625,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,1988,34.01558948,-112.1679378,0.185,414.29,16.4,4800.94081,13.3722534,1801.373,465.69281005859375,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,1989,34.01558948,-112.1679378,0.36,288.24,17.13,4800.94081,13.3722534,1801.373,322.62017822265625,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512500,1975,34.3153073,-112.0640455,0.305,308.42,15.4,4800.94081,13.3722534,3481.221,309.4661865234375,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,1993,34.01558948,-112.1679378,0.207,719.7,16.17,4800.94081,13.3722534,1801.373,486.4630126953125,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,1994,34.01558948,-112.1679378,0.389,427.36,16.52,4800.94081,13.3722534,1801.373,434.7210998535156,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512800,1995,34.01558948,-112.1679378,0.17,494.61,16.77,4800.94081,13.3722534,1801.373,464.6070556640625,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512501,1943,34.3153073,-112.0640455,0.226,410.12,16.84,4800.94081,13.3722534,3481.221,455.53695819561295,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512495,1955,34.31502955,-112.0648788,0.571,450.79,15.31,4800.94081,13.3722534,3466.88,455.53695819561295,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
AGUA FRIA,9512495,1956,34.31502955,-112.0648788,0.627,189.08,16.36,4800.94081,13.3722534,3466.88,455.53695819561295,1.16e-4,0.2447783,0.0835321,0.5688054,0,0,0,0,0.0063,0.004,0.0023,9e-4,2e-4,1e-4,0,0.0771,0,0.5243,0.0653,0,1e-4,0.001,2e-4,0.0051,0.2741,0.0861,0,0,0,0.0053,0.3959,0.0974,0.0101,0,0,0.1295,0,9e-4,0.3035,0.3774
