BASIN_NAME,LAT,LONG
MORENCI,33.475,-109.481
MORENCI,33.437,-109.183
MORENCI,33.389,-109.162
MORENCI,33.422,-109.115
MORENCI,33.195,-109.128
MORENCI,33.698,-109.069
MORENCI,33.542,-109.203
MORENCI,33.755,-109.222
MORENCI,33.221,-109.201
MORENCI,33.25,-109.514
MORENCI,33.371,-109.448
MORENCI,33.062,-109.436
MORENCI,33.531,-109.536
MORENCI,33.493,-109.469
MORENCI,33.498,-109.404
MORENCI,32.995,-109.35
MORENCI,33.107,-109.292
MORENCI,33.179,-109.24
MORENCI,33.012,-109.41
MORENCI,33.484,-109.208
BONITA CREEK,33.129,-109.678
BONITA CREEK,33.125,-109.654
BONITA CREEK,33.049,-109.631
BONITA CREEK,33.056,-109.622
BONITA CREEK,33.057,-109.607
BONITA CREEK,33.179,-109.723
BONITA CREEK,33.108,-109.711
BONITA CREEK,33.114,-109.699
BONITA CREEK,33.132,-109.703
BONITA CREEK,33.151,-109.724
BONITA CREEK,32.905,-109.483
BONITA CREEK,32.934,-109.501
BONITA CREEK,32.903,-109.484
BONITA CREEK,32.94,-109.47
BONITA CREEK,32.957,-109.532
BONITA CREEK,33.234,-109.649
BONITA CREEK,33.231,-109.641
BONITA CREEK,33.117,-109.641
BONITA CREEK,33.361,-110.027
BONITA CREEK,33.376,-110.025
DUNCAN VALLEY,32.891,-109.138
DUNCAN VALLEY,32.876,-109.17
DUNCAN VALLEY,32.918,-109.208
DUNCAN VALLEY,32.614,-109.057
DUNCAN VALLEY,32.772,-109.237
DUNCAN VALLEY,32.56,-109.052
DUNCAN VALLEY,32.772,-109.202
DUNCAN VALLEY,32.774,-109.17
DUNCAN VALLEY,32.738,-109.117
DUNCAN VALLEY,32.656,-109.075
DUNCAN VALLEY,32.677,-109.083
DUNCAN VALLEY,32.692,-109.081
DUNCAN VALLEY,32.972,-109.35
DUNCAN VALLEY,32.901,-109.208
DUNCAN VALLEY,32.915,-109.1
DUNCAN VALLEY,32.905,-109.115
DUNCAN VALLEY,32.944,-109.243
DUNCAN VALLEY,32.937,-109.223
