GWBasin,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
FORMER DOUGLAS INA,1437.337287,0.8073,0.2433,0.0585,0.9748,0.5051,0.0000,0.0057,0.0008,0.00000000,0.00100117,0.02388772,0.00565511,0.00273427,0.00082648,0.00093730,0.00017406,0.00009955,0.00000188,0.73343799,0.13809824,0.00016530,0.09289740,0.00000877,0.00006825,0.002057721,0,16628400,3662100,0,0,735300,13068900,0,1952175600,0,0,0,0,0.0004,0.2685,0.4544
SANTA CRUZ AMA,1855.46746,10.4332,0.1473,0.0354,0.4819,0.5940,0.0000,0.0000,0.0000,0.00001116,0.00059561,0.02911645,0.00568690,0.00314974,0.00146332,0.00005966,0.00122129,0.04475554,0.00054323,0.76384558,0.13960044,0.00141287,0.00351982,0.00408681,0.00093610,0.004318417,336672900,897869700,11063700,50738400,0,0,713349900,11295900,541465200,0,0,0,0,0.0002,0.3456,0.3778
SAN BERNARDINO VALLEY,1003.460966,6.1015,0.0424,0.0132,0.3728,0.9494,0.0000,0.0000,0.0000,0.00006547,0.00008341,0.00217305,0.00038295,0.00009865,0.00000090,0.00004753,0.00000000,0.01879690,0.00049685,0.92170364,0.05291275,0.00000000,0.00000000,0.00040537,0.00285285,0.48905137,0,292679100,0,0,0,70432200,908656200,0,111317400,0,0,0,0,0.0017,0.2351,0.4872
SAN RAFAEL,592.8575817,8.5602,0.0941,0.0046,0.8695,0.3712,0.0000,0.0000,0.0000,0.00000000,0.00073318,0.00477556,0.00003947,0.00000455,0.00000000,0.00000000,0.00006527,0.21000784,0.00595048,0.41683854,0.35812312,0.00006072,0.00000000,0.00034003,0.00305114,0.00721282,39567600,518773500,399600,100369800,0,5528700,43524000,0,107917200,0,0,0,0,0,0.2558,0.4694
TIGER WASH,191.8620566,6.0634,0.0286,0.0009,0.1764,1.2442,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00406205,0.00037994,0.00004222,0.00005629,0.00011257,0.00000000,0.00004222,0.00000000,0.95627900,0.03903505,0.00000000,0.00000000,0.00000000,0.00000000,0,105779700,0,0,7276500,0,0,6206400,24882300,134289000,0,90900,0,0,0.0002,0.2892,0.3995
VIRGIN RIVER,1121.939387,12.2664,0.1789,0.1838,0.1451,0.6850,0.0000,0.0000,0.0000,0.00000000,0.00011551,0.00686386,0.00299918,0.00242726,0.00036818,0.00261095,0.00000963,0.13521647,0.00006257,0.64001442,0.19935749,0.00003048,0.00124090,0.00831010,0.00036256,0.433605621,0,259364700,0,0,0,530656200,143507700,193205700,628688700,0,0,0,0,0.0001,0.3565,0.2812
SHIVWITS PLATEAU,4713.448855,11.7861,0.0241,0.1129,0.0936,1.2237,0.0000,0.0000,0.0000,0.00000000,0.00191218,0.00172545,0.00014606,0.00002272,0.00000115,0.03425309,0.00000000,0.16656606,0.00000859,0.79076431,0.00371743,0.00000000,0.00000000,0.00070301,0.00018062,0.907766697,32145300,1115857800,0,0,0,5138906400,885642300,16704900,88665300,0,0,0,0,0.0004,0.3325,0.3143
KANAB PLATEAU,11002.7545,10.2264,0.1166,0.4251,0.2375,0.6903,0.0000,0.0000,0.0000,0.00000000,0.00059529,0.00302780,0.00078407,0.00023941,0.00003623,0.03506381,0.00018649,0.21574526,0.00006985,0.70752912,0.03565304,0.00022779,0.00004114,0.00066571,0.00013529,0.857094631,20217600,4173330600,197164800,0,0,10858704300,1040965200,38565000,761758200,0,0,13245300,0,0.0003,0.3463,0.2967
LITTLE COLORADO RIVER PLATEAU,68723.53874,4.3751,0.3263,0.3283,0.2964,0.3929,0.0001,0.0001,0.0003,0.00000000,0.00077893,0.00672716,0.00236154,0.00144213,0.00029086,0.00951664,0.00028398,0.15452254,0.00001473,0.68493225,0.13489354,0.00024002,0.00000351,0.00271311,0.00127934,0.332749608,126558000,65769884100,6391800,0,0,19978813800,8859729600,0,9386748000,22008600,0,0,0,0.0027,0.3547,0.3018
PARIA,1058.233095,5.3534,0.2568,0.0613,0.0000,1.0467,0.0000,0.0000,0.0000,0.00000000,0.00959107,0.00170595,0.00063356,0.00029595,0.00000340,0.00860628,0.00000000,0.04205680,0.00000000,0.93470458,0.00121951,0.00006293,0.00000000,0.00089379,0.00019220,0.125542996,0,1551566700,0,0,0,0,0,0,72871200,0,0,0,0,0.0088,0.428,0.2016
GRAND WASH,2480.963243,11.2008,0.0386,0.1606,0.0743,1.0167,0.0000,0.0000,0.0000,0.00000000,0.00023759,0.00001524,0.00000181,0.00000036,0.00000000,0.00831546,0.00000907,0.12296642,0.00019842,0.81329167,0.04941865,0.00000000,0.00000000,0.00302779,0.00253048,0.491033676,0,654170400,0,0,0,1750181400,599433300,12252600,793738800,0,0,0,0,0,0.291,0.3543
COCONINO PLATEAU,15060.586,7.3500,0.0089,0.1235,0.1908,1.0992,0.0000,0.0000,0.0000,0.00000000,0.00121631,0.00334700,0.00131652,0.00060269,0.00013290,0.03040358,0.00053815,0.18616354,0.00004380,0.68295897,0.09285611,0.00000000,0.00000000,0.00032226,0.00009698,0.831187246,38192400,2659265100,52088400,0,0,15542567100,3901552200,21046500,764656200,0,0,12697200,0,0.0011,0.3463,0.3076
HUALAPAI VALLEY INA,3137.159647,7.6705,0.6041,0.0548,0.2155,0.5631,0.0000,0.0000,0.0000,0.00000000,0.00537903,0.01641506,0.00803828,0.00226165,0.00078601,0.01403981,0.00044407,0.06251935,0.00004934,0.88574355,0.00281531,0.00000201,0.00000000,0.00090937,0.00060357,0.034338796,922129200,177352200,0,0,0,167063400,185202000,584607600,2675294100,0,0,0,0,0.0174,0.384,0.2585
MEADVIEW,491.9393086,11.3968,0.4953,0.0086,0.0014,0.8252,0.0000,0.0000,0.0000,0.00000000,0.00358925,0.01515278,0.00633698,0.00110129,0.00004025,0.00265078,0.00003110,0.06983669,0.00000366,0.88204426,0.00000732,0.00000000,0.00000000,0.01566501,0.00355632,0.208789979,55022400,301544100,0,0,0,159621300,16964100,4073400,195173100,0,0,0,0,0.0001,0.4189,0.2347
DETRITAL VALLEY,2306.997636,6.5485,0.5596,0.0653,0.1640,0.6436,0.0000,0.0000,0.0000,0.00000000,0.03081702,0.00837297,0.00443185,0.00053950,0.00002536,0.00927721,0.00004252,0.01982651,0.00000624,0.90033479,0.02523438,0.00000000,0.00000000,0.00005188,0.00102556,0.000714997,367160400,578265300,0,0,0,2512800,619437600,257856300,1511179200,0,0,0,0,0.0171,0.4099,0.2299
