GWBasin,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SANTA CRUZ AMA,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,467.40219163161055,487.1147766113281,591.80926513671875,387.07659912109375,509.96832275390625,360.3780822753906,402.08587646484375,496.2938232421875,442.11322021484375,597.9451904296875,509.7919006347656,457.0836486816406,400.1305847167969,415.0517272949219,499.6142578125,418.79449462890625,392.8636169433594,442.9256896972656,389.8133850097656,413.30242919921875,538.40704345703125,629.7952880859375,400.6903991699219,414.5644226074219,441.8985900878906,537.2491455078125,827.2974853515625,690.75091552734375,555.34808349609375,537.93560791015625,440.6703186035156,487.5223388671875,336.443359375,614.473876953125,459.3458251953125,657.1563720703125,439.34246826171875,449.9169006347656,408.4617919921875,390.841064453125,385.9104919433594,463.0164489746094,442.8057861328125,501.4248352050781,392.5423278808594,286.937744140625,440.1611328125,416.1067810058594,338.28997802734375,446.1671447753906,424.05462646484375,447.6852111816406,331.77496337890625,492.61572265625,556.76116943359375,414.0984191894531,407.6965637207031,456.2440490722656,586.03094482421875,511.23455810546875,427.1940612792969,510.1336669921875,667.53857421875,259.0434875488281,458.5319519042969,444.8736267089844
SAN BERNARDINO VALLEY,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,365.92718740609973,447.63409423828125,417.7001953125,290.6849670410156,381.76422119140625,302.6841735839844,302.5805969238281,360.75604248046875,398.1796875,414.8616943359375,370.1825256347656,339.44354248046875,291.8880920410156,263.0947265625,341.9346618652344,387.1180725097656,302.4608154296875,334.0533752441406,312.6340637207031,314.9734191894531,485.27783203125,440.345947265625,310.8157043457031,275.09478759765625,397.45849609375,379.1394958496094,566.5147705078125,514.3165283203125,457.7737121582031,456.67340087890625,379.41363525390625,408.9361877441406,268.2137756347656,465.7125244140625,449.5361633300781,476.7210693359375,342.03045654296875,369.5032043457031,294.2425537109375,343.48834228515625,358.77276611328125,288.00579833984375,336.8548278808594,376.57220458984375,284.8128662109375,279.0033264160156,271.3209228515625,372.9281311035156,278.26287841796875,381.2658386230469,350.5838317871094,354.81878662109375,286.4114074707031,386.31573486328125,376.4438781738281,295.8734436035156,338.09002685546875,353.19573974609375,489.4700927734375,396.42352294921875,399.74359130859375,375.219482421875,508.3259582519531,260.5397033691406,356.7064514160156,373.4684143066406
SAN RAFAEL,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,522.3497182992788,570.56787109375,643.14093017578125,447.8541564941406,568.019775390625,412.6658935546875,446.06683349609375,531.3082275390625,499.345947265625,634.16412353515625,552.11907958984375,488.1173400878906,446.3225402832031,434.70281982421875,550.9981689453125,480.33544921875,452.18731689453125,482.8453674316406,437.2886962890625,461.7911376953125,631.322265625,666.0943603515625,420.9799499511719,458.0407409667969,509.52288818359375,567.96063232421875,889.9755859375,723.00244140625,622.2032470703125,615.110107421875,528.32318115234375,583.56964111328125,387.7579040527344,674.09332275390625,546.75994873046875,717.1221923828125,463.9201354980469,503.5597229003906,456.5346984863281,462.05816650390625,471.434814453125,496.8848876953125,465.1696472167969,581.50799560546875,442.0128173828125,351.65338134765625,471.72259521484375,494.39111328125,394.5171813964844,493.9688415527344,497.90240478515625,489.4134826660156,378.08697509765625,566.45355224609375,599.39288330078125,436.3697204589844,452.04302978515625,493.88677978515625,674.31243896484375,579.74029541015625,462.8993225097656,558.968017578125,700.40582275390625,340.07257080078125,554.1563720703125,537.6119384765625
TIGER WASH,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,248.77896599402794,224.9153594970703,283.13677978515625,168.99256896972656,211.60057067871094,172.6147918701172,234.81285095214844,204.2657928466797,397.9646301269531,258.3708190917969,285.668212890625,260.9928894042969,238.8055419921875,247.5815887451172,183.3205108642578,246.61376953125,219.92567443847656,230.64996337890625,131.69329833984375,274.4748229980469,230.89031982421875,492.4114074707031,282.9105224609375,271.863525390625,224.50408935546875,362.8636169433594,355.311279296875,361.37457275390625,312.21728515625,285.3434143066406,292.2958068847656,261.3899230957031,162.7749481201172,283.34625244140625,308.81622314453125,444.553466796875,308.3084716796875,291.7435302734375,235.0407257080078,163.86093139648438,251.8642120361328,286.250732421875,193.47451782226562,194.34242248535156,196.3474578857422,104.9201889038086,212.80213928222656,301.1956787109375,230.08445739746094,143.53688049316406,213.14706420898438,202.63111877441406,172.52076721191406,230.91526794433594,185.041015625,227.2601776123047,252.77426147460938,213.02093505859375,287.2983703613281,243.6953582763672,172.18954467773438,229.92271423339844,398.5174560546875,173.53121948242188,226.99591064453125,218.13217163085938
VIRGIN RIVER,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,244.779514840933,278.6784973144531,185.28128051757812,236.7410888671875,209.5945281982422,158.3513641357422,226.714111328125,146.58250427246094,302.251708984375,210.35684204101562,285.73028564453125,232.9536895751953,290.3829650878906,232.39492797851562,190.7378692626953,245.76712036132812,257.6229248046875,206.486572265625,207.42933654785156,216.9171905517578,220.2855987548828,418.8121643066406,297.5798645019531,341.2783508300781,267.97967529296875,324.504638671875,344.6681823730469,283.11126708984375,252.0953369140625,244.70748901367188,311.1774597167969,241.1217041015625,157.51260375976562,215.2538299560547,241.9085235595703,320.83935546875,289.4730224609375,259.23504638671875,284.2037658691406,247.80906677246094,293.2593078613281,359.2321472167969,190.06936645507812,220.8439483642578,183.2051239013672,110.67823028564453,213.66104125976562,315.41522216796875,284.96502685546875,174.46815490722656,188.7830047607422,192.3731231689453,153.5819854736328,276.4768371582031,210.82081604003906,316.18194580078125,197.61073303222656,191.91668701171875,301.59246826171875,238.9591064453125,225.9381103515625,231.5475616455078,366.0981140136719,143.7100067138672,220.84786987304688,223.90077209472656
SHIVWITS PLATEAU,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,299.28931696965145,348.70501708984375,237.3397979736328,284.33251953125,254.66287231445312,201.9117431640625,275.7330017089844,205.91912841796875,384.1382141113281,280.1734924316406,322.0658264160156,315.8624572753906,339.4625244140625,289.28125,241.82858276367188,298.5163269042969,284.44549560546875,255.91885375976562,259.2467346191406,258.80511474609375,264.0736389160156,455.21905517578125,358.24420166015625,383.0483703613281,334.6670837402344,411.8125,456.9595031738281,345.5626525878906,333.6026306152344,316.1251525878906,358.60919189453125,313.9563903808594,185.30636596679688,294.0265197753906,314.5018310546875,377.94873046875,318.8196105957031,303.22735595703125,349.1555480957031,275.8466796875,359.29901123046875,417.5837097167969,254.05099487304688,260.86737060546875,235.95716857910156,148.77545166015625,265.4859313964844,392.8968811035156,321.29180908203125,209.7332763671875,233.57723999023438,260.8149719238281,181.135498046875,327.01202392578125,254.92083740234375,381.4692687988281,253.56411743164062,239.86048889160156,372.5179138183594,285.8728332519531,243.7705841064453,276.3087158203125,413.818359375,177.44064331054688,302.4276123046875,294.2909240722656
KANAB PLATEAU,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,312.2403334397536,338.3563537597656,232.02725219726562,302.1080322265625,279.6644287109375,239.98683166503906,296.63983154296875,239.71961975097656,391.260986328125,308.08380126953125,351.3356018066406,331.75738525390625,365.745361328125,305.1048278808594,250.91995239257812,289.5132751464844,301.81097412109375,257.2995300292969,284.188232421875,222.67343139648438,236.27719116210938,361.9376525878906,328.6414794921875,397.1620178222656,381.69781494140625,410.4102478027344,464.51385498046875,297.99853515625,338.5380859375,342.361083984375,371.0221862792969,310.1815185546875,204.44976806640625,284.8517150878906,305.5799255371094,369.6298522949219,333.3475646972656,314.61492919921875,377.80224609375,300.9866027832031,397.2042541503906,448.94757080078125,296.81390380859375,292.5232238769531,287.7505187988281,219.07574462890625,280.23675537109375,402.04559326171875,343.74432373046875,247.5637969970703,238.0125732421875,279.47833251953125,190.66622924804688,373.5528259277344,287.973388671875,339.355712890625,299.5968933105469,276.6455078125,420.2542724609375,305.09942626953125,269.19000244140625,288.1655578613281,385.80743408203125,178.8238067626953,322.53643798828125,304.35760498046875
LITTLE COLORADO RIVER PLATEAU,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,259.9322263277494,252.11264038085938,245.5284423828125,222.18643188476562,245.4248809814453,225.98190307617188,251.30149841308594,263.4861755371094,324.9242248535156,252.0297393798828,255.3636016845703,287.3340759277344,286.712158203125,218.39280700683594,221.91415405273438,258.8497619628906,255.6289520263672,222.3216094970703,239.4035186767578,223.85057067871094,252.26980590820312,271.9990539550781,267.8450012207031,277.7371520996094,286.54718017578125,328.4402160644531,359.88775634765625,306.5303039550781,326.1248474121094,314.2537841796875,315.8680419921875,291.39422607421875,167.51296997070312,268.20843505859375,242.693115234375,365.0766296386719,278.6114196777344,262.4522399902344,233.2561492919922,222.38165283203125,292.4407043457031,298.1419372558594,268.1351623535156,239.3177032470703,229.43336486816406,205.83407592773438,227.64141845703125,287.6126708984375,236.408935546875,226.06912231445312,203.09617614746094,260.0609130859375,164.63790893554688,294.63775634765625,231.62657165527344,213.75332641601562,290.89862060546875,244.8308868408203,395.72796630859375,258.56268310546875,190.93284606933594,255.45994567871094,291.3909606933594,151.4747314453125,257.4301452636719,288.2010498046875
PARIA,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,248.30223341721754,255.5530242919922,185.37289428710938,251.58721923828125,235.7330322265625,196.66087341308594,234.4432830810547,184.75082397460938,331.5667419433594,254.6479949951172,295.9669494628906,250.72402954101562,296.2548522949219,236.59075927734375,195.61782836914062,244.6167755126953,238.9270477294922,194.63818359375,228.6768341064453,173.90191650390625,170.1107940673828,276.08624267578125,233.29421997070312,318.9857177734375,324.38067626953125,313.3128662109375,351.0310363769531,224.9148712158203,286.9027404785156,269.5687561035156,311.4932556152344,236.8914794921875,162.81695556640625,209.8877410888672,239.38272094726562,307.4188537597656,257.4160461425781,245.4447021484375,297.838623046875,227.3653106689453,324.36834716796875,372.90435791015625,250.33404541015625,241.86026000976562,236.29840087890625,201.29495239257812,226.51939392089844,331.7061767578125,273.91217041015625,198.63136291503906,193.87890625,206.06532287597656,151.33648681640625,314.41900634765625,240.91909790039062,238.29005432128906,273.8515625,247.4196319580078,343.70343017578125,239.8802032470703,220.00390625,227.5728759765625,256.0055847167969,145.00552368164062,232.50245666503906,200.18698120117188
GRAND WASH,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,259.3300862238957,311.2581481933594,216.12359619140625,248.74363708496094,214.98101806640625,160.30223083496094,237.07614135742188,150.1231689453125,328.56298828125,226.8896942138672,289.2251892089844,243.98973083496094,292.8782958984375,243.97792053222656,200.8433074951172,265.7375793457031,256.7591247558594,219.2906494140625,218.40805053710938,248.08267211914062,243.10084533691406,459.7548522949219,332.4504699707031,343.3008728027344,279.4959411621094,354.0937194824219,384.255859375,331.4771728515625,268.4369812011719,268.3470153808594,324.5660095214844,259.897705078125,159.1632537841797,240.8997039794922,269.4304504394531,359.2613220214844,287.57257080078125,269.65911865234375,293.2772216796875,240.39512634277344,304.26531982421875,368.02398681640625,208.37831115722656,222.03628540039062,187.35638427734375,113.40503692626953,242.75564575195312,361.9109802246094,288.0662536621094,166.32614135742188,207.1562042236328,206.65602111816406,165.5143280029297,279.9673156738281,208.40078735351562,345.66290283203125,209.27798461914062,197.69329833984375,316.09539794921875,245.39089965820312,212.5472412109375,240.2323760986328,376.03265380859375,149.71559143066406,240.49984741210938,250.99905395507812
