GWBasin,recharge_mm
AGUA FRIA,4.899612742837662
ARAVAIPA CANYON,3.2568016533051685
BIG SANDY,9.955433351568718
BILL WILLIAMS,14.57749685109226
BONITA CREEK,2.0266254085483424
BUTLER VALLEY,8.346291568173358
CIENEGA CREEK,2.587303927150795
COCONINO PLATEAU,13.428439517933182
DETRITAL VALLEY,4.725530200099504
DONNELLY WASH,11.28184054425297
DOUGLAS,4.824167687299227
DOUGLAS INA,5.329543401866228
DRIPPING SPRING WASH,7.472347144386034
DUNCAN VALLEY,2.4569789168801557
GILA BEND,2.920335732566025
GRAND WASH,10.127581298886149
HARQUAHALA INA,3.631315071932825
HUALAPAI VALLEY,9.23615115741833
JOSEPH CITY INA,1.3322469720416479
KANAB PLATEAU,20.95184286476019
LAKE HAVASU,11.192225086429975
LAKE MOHAVE,7.085096065099049
LITTLE COLORADO RIVER PLATEAU,5.288616653163145
LOWER GILA,4.788483037127129
LOWER SAN PEDRO,3.020483038880112
MCMULLEN VALLEY,5.586901669369122
MEADVIEW,6.737727157308068
MORENCI,15.236349243136766
PARIA,13.235744735926081
PARKER,7.239809242455576
PEACH SPRINGS,12.671996693259512
PHOENIX AMA,2.7677014902450527
PINAL AMA,2.9553293315924565
PRESCOTT AMA,2.060326276889538
RANEGRAS PLAIN,4.883680206603648
SACRAMENTO VALLEY,5.764771220918531
SAFFORD,2.1789976013260186
SALT RIVER,20.597562191255225
SAN BERNARDINO VALLEY,15.7887497609071
SAN RAFAEL,4.342547988289367
SAN SIMON WASH,6.09693895667461
SANTA CRUZ AMA,6.278623093076721
SHIVWITS PLATEAU,8.140718460754176
TIGER WASH,6.318787196529737
TONTO CREEK,17.145847504632197
TUCSON AMA,2.5608300791039715
UPPER HASSAYAMPA,5.577053867702498
UPPER SAN PEDRO,3.1491743322602512
VERDE RIVER,9.40178160011573
VIRGIN RIVER,8.875164874302014
WESTERN MEXICAN DRAINAGE,13.367362628161441
WILLCOX,4.846056186958745
YUMA,6.818495071872782
NA,NA
